"wave","province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 3","P0002","West Azerbaijan",6609.598717949207,11063,4453.401282050793,4469.141025640558,473.9435001899291,3518.236327065475,5388.5662370361115,3533.9760706552397,5404.305980625876
"wave 3","P0003","Ardabil",3077.435897435987,4275,1197.564102564013,1197.564102564013,222.39023850505325,758.7532373503126,1636.3749677777132,758.7532373503126,1636.3749677777132
"wave 3","P0004","Isfahan",10958.162820513713,16255,5296.837179486287,5462.797435896708,781.1731738469434,3755.459830364371,6838.214528608203,3921.420086774792,7004.174785018624
"wave 3","P0005","Alborz",4811.774358974739,7538,2726.225641025261,2772.855128204812,454.4094957328104,1829.6043444960749,3622.8469375544473,1876.2338316756257,3669.476424733998
"wave 3","P0006","Ilam",1074.3935897436527,1742,667.6064102563473,671.651282051233,130.63414190575182,409.84473320859445,925.3680873041002,413.88960500348014,929.4129590989859
"wave 3","P0007","Bushehr",1926.293589743651,2419,492.70641025634905,542.1999999999591,172.8635715201378,151.61943677860603,833.793383734092,201.1130265222161,883.2869734777021
"wave 3","P0008","Tehran",26384.36666666849,38616,12231.633333331509,12430.199999998371,1899.8405244746505,8482.949623485005,15980.317043178013,8681.516290151867,16178.883709844875
"wave 3","P0009","Chahaar Mahal and Bakhtiari",1721.9761904761867,2671,949.0238095238133,964.8626373626407,211.90938144552965,529.7559083596154,1368.291710688011,545.5947361984429,1384.1305385268386
"wave 3","P0010","South Khorasan",1779.2371794872342,2318,538.7628205127658,639.9333333332975,188.33247336161935,167.15327443203466,910.3723665934968,268.3237872525664,1011.5428794140286
"wave 3","P0011","Razavi Khorasan",13973.682051283044,18771,4797.317948716956,4892.880769229878,1050.7358135155957,2724.0511788298277,6870.584718604085,2819.613999342749,6966.147539117006
"wave 3","P0012","North Khorasan",2090.2858974360693,2645,554.7141025639307,627.9493589742469,187.41686179592622,184.9112018919294,924.5170032359321,258.1464583022456,997.7522596462483
"wave 3","P0013","Khuzestan",9390.126923077689,10871,1480.8730769223112,1541.1999999994114,638.1839667745536,221.63588868803527,2740.110265156587,281.9628117651355,2800.4371882336873
"wave 3","P0014","Zanjan",2242.9051282054834,3514,1271.0948717945166,1282.3769230766025,243.57133472641445,790.4903774109866,1751.6993661780466,801.7724286930725,1762.9814174601324
"wave 3","P0015","Semnan",1584.3153846154491,2285,700.6846153845509,726.3269230768715,141.2709195549514,421.9349056123987,979.4343251567029,447.57721330471935,1005.0766328490236
"wave 3","P0016","Sistan and Baluchistan",6406.208974359279,7235,828.7910256407213,851.5628205125468,615.2090115602018,-385.11296791906534,2042.6950192005079,-362.34117304723986,2065.4668140723334
"wave 3","P0017","Fars",9762.516666666961,14723,4960.483333333039,4960.483333333039,740.2348478655327,3499.8837304155504,6421.082936250527,3499.8837304155504,6421.082936250527
