"wave","province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 1","P0020","Kurdistan","50 to 54",122.04230769235764,119,-3.042307692357639,25.40705128202528,14.523856815585171,-31.70015804734079,25.61554266262551,-3.2507990729578715,54.06490163700843
"wave 1","P0020","Kurdistan","55 to 59",129.77307692307704,139,9.226923076922958,26.718589743588268,17.76125683026477,-25.8188259153114,44.272672069157316,-8.32715924864609,61.764338735822626
"wave 1","P0020","Kurdistan","60 to 64",231.0192307692127,263,31.980769230787303,46.02692307693468,24.349991406158516,-16.06558778878933,80.02712625036393,-2.019433942641953,94.07328009651131
"wave 1","P0020","Kurdistan","65 to 69",277.4000000000018,297,19.599999999998204,45.35000000000514,22.726175463962488,-25.24231315806403,64.44231315806044,0.5076868419429061,90.19231315806738
"wave 1","P0020","Kurdistan","70 to 74",291.15384615385756,360,68.84615384614244,83.21153846152828,24.227460771229122,21.041569011756977,116.65073868052791,35.40695362714281,131.01612329591376
"wave 1","P0020","Kurdistan","75 to 79",309.38846153848704,361,51.611538461512964,67.04358974357137,29.868083111912437,-7.322880066552052,110.54595698957797,8.109171215506358,125.97800827163638
"wave 1","P0020","Kurdistan","80",1325.7153846154577,1276,-49.71538461545765,80.6128205127718,66.59640985039917,-181.12055969429022,81.68979046337492,-50.792354566060766,212.01799559160438
"wave 1","P0021","Kerman","0 to 4",448.042307692358,321,-127.04230769235801,20.856410256401205,41.01941558613403,-207.98005642139145,-46.10455896332455,-60.081338472632254,101.79415898543466
"wave 1","P0021","Kerman","10 to 14",108.11153846154679,86,-22.111538461546786,12.398717948716694,14.201379813042507,-50.133091048028504,5.910014124934932,-15.622834637765024,40.42027053519841
"wave 1","P0021","Kerman","15 to 19",137.99999999998784,125,-12.999999999987836,19.55000000000456,16.568955707802978,-45.693151636062446,19.693151636086775,-13.143151636070051,52.24315163607917
"wave 1","P0021","Kerman","20 to 24",176.61923076926337,162,-14.619230769263368,27.061538461524272,18.09189682838565,-50.317384402209434,21.0789228636827,-8.636615171421795,62.75969209447034
"wave 1","P0021","Kerman","25 to 29",159.25769230771084,166,6.74230769228916,31.01538461537666,20.34145732199771,-33.39458207039057,46.87919745496889,-9.121505147303068,71.15227437805639
"wave 1","P0021","Kerman","30 to 34",211.2884615385038,202,-9.28846153850381,31.78846153844532,20.812604147642002,-50.35499797809451,31.77807490108689,-9.27807490114538,72.85499797803601
"wave 1","P0021","Kerman","35 to 39",184.09230769232596,212,27.90769230767404,46.942307692298016,18.21586383254501,-8.035067692524443,63.85045230787252,10.999547692099533,82.8850676924965
"wave 1","P0021","Kerman","40 to 44",180.10769230769625,186,5.892307692303746,33.461538461538,18.378189382445715,-30.37074610980367,42.15536149441116,-2.8015153405694164,69.7245922636454
"wave 1","P0021","Kerman","45 to 49",223.60384615385266,209,-14.603846153852658,22.765384615380867,20.083798968629086,-54.23233552211195,25.024643214406638,-16.863104752878428,62.39387398364016
"wave 1","P0021","Kerman","5 to 9",108.39999999999634,95,-13.39999999999634,20.000000000001307,19.78329473393347,-52.43554732136733,25.635547321374652,-19.035547321369684,59.0355473213723
"wave 1","P0021","Kerman","50 to 54",217.61153846155716,243,25.38846153844284,42.3698717948601,23.219585833753708,-20.42742776544729,71.20435084233297,-3.4460175090300282,88.18576109875023
"wave 1","P0021","Kerman","55 to 59",325.3461538461252,322,-3.346153846125219,51.442307692318735,30.285546368943095,-63.104292939642974,56.411985247392536,-8.31583140119902,111.20044678583649
"wave 1","P0021","Kerman","60 to 64",439.742307692351,442,2.2576923076489948,47.25064102562078,28.33938252843752,-53.660359898779674,58.175744514077664,-8.667411180807889,103.16869323204945
"wave 1","P0021","Kerman","65 to 69",457.83846153847526,469,11.161538461524742,71.29615384614635,32.163417797960484,-52.30193586642816,74.62501278947764,7.832679518193451,134.75962817409925
