"province","province_name","year","week_num","deaths","expected_deaths_mean","expected_deaths_low","expected_deaths_high","se","excess_deaths_mean","excess_deaths_low","excess_deaths_high"
"P0025","Gilan",1399,12,384,320.13846153846816,231.11494802114595,409.1619750557904,45.11729761758186,63.861538461531836,152.88505197885405,-25.16197505579038
"P0025","Gilan",1399,13,277,288.93846153845516,199.91494802113527,377.96197505577504,45.11729761758068,-11.938461538455158,77.08505197886473,-100.96197505577504
"P0025","Gilan",1399,14,339,310.93846153845834,221.914948021138,399.9619750557787,45.11729761758091,28.06153846154166,117.085051978862,-60.96197505577868
"P0025","Gilan",1399,15,324,309.5384615384305,220.51494802111532,398.56197505574573,45.117297617578316,14.46153846156949,103.48505197888468,-74.56197505574573
"P0025","Gilan",1399,16,288,293.33846153845707,204.31494802113687,382.3619750557773,45.11729761758085,-5.338461538457068,83.68505197886313,-94.3619750557773
"P0025","Gilan",1399,17,334,315.1384615384527,226.11494802113344,404.16197505577196,45.11729761758036,18.861538461547298,107.88505197886656,-70.16197505577196
"P0025","Gilan",1399,18,359,294.3384615384489,205.31494802113042,383.36197505576735,45.117297617579965,64.66153846155112,153.68505197886958,-24.361975055767346
"P0025","Gilan",1399,19,328,325.7384615384567,236.71494802113682,414.7619750557766,45.11729761758068,2.261538461543296,91.28505197886318,-86.76197505577659
"P0025","Gilan",1399,20,394,307.53846153845507,218.51494802113518,396.56197505577495,45.11729761758068,86.46153846154493,175.48505197886482,-2.561975055774951
"P0025","Gilan",1399,21,286,270.1384615384636,181.11494802114214,359.1619750557851,45.117297617581485,15.861538461536384,104.88505197885786,-73.16197505578509
"P0025","Gilan",1399,22,293,290.13846153845225,201.11494802113313,379.16197505577134,45.11729761758028,2.8615384615477524,91.88505197886687,-86.16197505577134
"P0025","Gilan",1399,23,426,328.53846153843733,239.5149480211209,417.5619750557538,45.117297617578956,97.46153846156267,186.4850519788791,8.438024944246195
"P0025","Gilan",1399,24,288,321.7384615384717,232.71494802114853,410.7619750557949,45.11729761758235,-33.73846153847171,55.28505197885147,-122.76197505579489
"P0025","Gilan",1399,25,361,317.33846153845616,228.31494802113627,406.36197505577604,45.11729761758068,43.66153846154384,132.68505197886373,-45.36197505577604
"P0025","Gilan",1399,26,357,287.3384615384457,198.3149480211277,376.3619750557637,45.11729761757973,69.6615384615543,158.6850519788723,-19.361975055763708
